date,latitude,longitude,altitude,distance
,48.277164,4.071140,127.800003,3.000
,48.277141,4.071120,127.900001,3.000
,48.277114,4.071098,128.000000,3.100
,48.277095,4.071078,128.000000,2.700
,48.277072,4.071058,128.000000,3.000
,48.277046,4.071037,128.100006,3.100
,48.277023,4.071017,128.100006,3.000
,48.277000,4.070998,128.100006,3.300
,48.276981,4.070977,128.000000,2.500
,48.276943,4.070952,128.000000,4.900
,48.276920,4.070933,128.199996,2.400
,48.276897,4.070915,128.300003,3.000
,48.276874,4.070897,128.600006,3.300
,48.276855,4.070878,128.500000,2.400
,48.276832,4.070857,128.600006,2.800
,48.276809,4.070835,128.699996,3.100
,48.276786,4.070815,128.899993,3.000
,48.276760,4.070797,129.000000,3.000
,48.276741,4.070773,129.199996,2.900
,48.276702,4.070743,129.199996,4.700
,48.276679,4.070725,128.899993,3.000
,48.276657,4.070703,129.000000,3.400
,48.276641,4.070683,129.199996,2.100
,48.276615,4.070662,129.199996,3.100
,48.276592,4.070645,129.000000,2.900
,48.276569,4.070625,129.199996,3.000
,48.276542,4.070602,128.899993,3.200
,48.276519,4.070583,128.600006,3.000
,48.276485,4.070552,128.500000,4.400
,48.276458,4.070530,128.600006,3.100
,48.276435,4.070508,129.199996,3.500
,48.276412,4.070485,129.100006,3.100
,48.276382,4.070467,128.699996,3.300
,48.276355,4.070455,128.399993,3.500
,48.276329,4.070448,128.600006,2.700
,48.276298,4.070452,128.600006,3.100
,48.276275,4.070462,128.500000,3.100
,48.276252,4.070453,128.500000,2.700
,48.276206,4.070417,128.500000,5.300
,48.276187,4.070390,128.500000,3.000
,48.276168,4.070365,128.500000,2.900
,48.276157,4.070333,128.800003,2.600
,48.276149,4.070302,128.899993,2.400
,48.276142,4.070283,129.600006,1.800
,48.276134,4.070268,129.800003,1.300
,48.276134,4.070253,130.600006,1.100
,48.276126,4.070235,130.800003,1.800
,48.276119,4.070212,131.199996,1.700
,48.276115,4.070192,131.399993,1.500
,48.276115,4.070168,131.699996,1.800
,48.276111,4.070152,131.800003,1.400
,48.276092,4.070133,131.399993,2.700
,48.276081,4.070105,131.000000,2.200
,48.276058,4.070072,130.500000,3.900
,48.276042,4.070038,129.899993,3.000
,48.276031,4.070010,130.000000,2.400
,48.276020,4.069982,130.199996,2.600
,48.276000,4.069947,130.199996,3.500
,48.275985,4.069918,130.000000,2.600
,48.275966,4.069897,129.800003,2.800
,48.275955,4.069875,129.699996,1.800
,48.275947,4.069860,129.600006,1.600
,48.275936,4.069845,129.500000,1.600
,48.275920,4.069818,129.300003,2.500
,48.275909,4.069800,128.699996,1.800
,48.275886,4.069778,128.500000,3.100
,48.275875,4.069755,128.399993,2.600
,48.275844,4.069722,128.300003,3.900
,48.275829,4.069695,128.100006,2.500
,48.275810,4.069665,128.500000,3.200
,48.275798,4.069650,127.900001,1.600
,48.275783,4.069632,127.900001,2.000
,48.275768,4.069607,128.100006,2.900
,48.275756,4.069575,128.399993,2.600
,48.275745,4.069547,128.100006,2.400
,48.275726,4.069522,127.400001,2.700
,48.275707,4.069480,127.099998,3.800
,48.275688,4.069440,127.400001,3.700
,48.275669,4.069417,126.699996,2.600
,48.275646,4.069403,125.599998,2.800
,48.275634,4.069378,125.699996,2.200
,48.275623,4.069345,126.199996,2.700
,48.275611,4.069317,126.699996,2.600
,48.275596,4.069292,126.500000,2.600
,48.275573,4.069275,125.500000,3.000
,48.275554,4.069248,125.699996,2.700
,48.275535,4.069197,126.599998,4.200
,48.275520,4.069168,127.300003,2.900
,48.275508,4.069135,128.600006,2.700
,48.275489,4.069105,129.699996,3.200
,48.275470,4.069073,130.399993,3.300
,48.275459,4.069045,130.399993,2.200
,48.275444,4.069022,129.699996,2.500
,48.275432,4.069000,129.399993,2.300
,48.275417,4.068980,128.500000,2.100
,48.275394,4.068942,127.699996,3.600
,48.275375,4.068913,127.000000,3.100
,48.275360,4.068885,127.000000,2.800
,48.275360,4.068873,126.699996,0.900
,48.275352,4.068842,126.699996,2.400
,48.275344,4.068818,126.900001,2.100
,48.275333,4.068802,126.800003,1.400
,48.275318,4.068777,126.699996,2.700
,48.275302,4.068748,126.599998,2.600
,48.275291,4.068718,126.900001,2.700
,48.275264,4.068680,126.800003,3.900
,48.275245,4.068643,126.199996,3.500
,48.275222,4.068617,126.000000,3.300
,48.275203,4.068587,125.800003,3.200
,48.275188,4.068552,126.000000,3.000
,48.275177,4.068532,125.800003,1.900
,48.275161,4.068500,126.099998,2.800
,48.275146,4.068473,126.599998,3.000
,48.275135,4.068450,126.900001,2.100
,48.275123,4.068412,127.699996,3.000
,48.275104,4.068377,127.500000,3.200
,48.275081,4.068353,127.500000,3.200
,48.275062,4.068327,127.099998,3.000
,48.275043,4.068302,127.400001,2.900
,48.275028,4.068273,127.599998,2.600
,48.275005,4.068245,128.300003,3.400
,48.274982,4.068227,128.100006,2.600
,48.274967,4.068200,127.699996,2.500
,48.274951,4.068177,126.699996,2.800
,48.274936,4.068157,126.300003,2.100
,48.274921,4.068108,126.000000,3.900
,48.274913,4.068070,126.800003,2.900
,48.274894,4.068037,126.500000,3.100
,48.274883,4.068005,127.199996,3.000
,48.274864,4.067977,127.000000,2.800
,48.274852,4.067948,127.500000,2.400
,48.274841,4.067920,127.599998,2.400
,48.274829,4.067890,128.000000,2.700
,48.274810,4.067863,128.000000,3.000
,48.274784,4.067835,126.400001,3.400
,48.274772,4.067820,126.199996,1.900
,48.274765,4.067807,126.000000,1.200
,48.274753,4.067792,125.199996,1.600
,48.274742,4.067777,125.699996,1.900
,48.274726,4.067763,126.000000,1.900
,48.274715,4.067753,126.000000,1.400
,48.274700,4.067737,125.800003,1.900
,48.274681,4.067710,125.800003,3.000
,48.274665,4.067690,125.699996,2.700
,48.274635,4.067658,125.099998,3.900
,48.274620,4.067632,124.900001,2.400
,48.274604,4.067607,124.599998,2.700
,48.274589,4.067582,124.199996,2.400
,48.274566,4.067557,124.000000,3.300
,48.274551,4.067532,123.900001,2.400
,48.274536,4.067507,123.699996,2.700
,48.274517,4.067485,123.400001,2.500
,48.274505,4.067465,123.000000,1.900
,48.274490,4.067435,122.900001,3.200
,48.274475,4.067402,122.300003,2.900
,48.274459,4.067377,122.699996,2.400
,48.274448,4.067355,122.599998,2.000
,48.274433,4.067330,122.800003,2.700
,48.274417,4.067310,122.599998,2.400
,48.274398,4.067287,121.599998,2.300
,48.274383,4.067265,121.300003,2.800
,48.274368,4.067237,122.199996,2.600
,48.274353,4.067212,122.000000,2.700
,48.274337,4.067188,122.099998,2.300
,48.274311,4.067150,121.699996,4.400
,48.274295,4.067123,121.400001,2.500
,48.274284,4.067093,121.699996,2.500
,48.274272,4.067068,121.400001,2.000
,48.274257,4.067043,121.300003,2.900
,48.274238,4.067022,121.900001,2.200
,48.274230,4.067008,121.599998,1.500
,48.274211,4.067008,121.599998,2.300
,48.274192,4.066985,121.699996,2.800
,48.274158,4.066943,121.699996,4.900
,48.274143,4.066910,121.900001,2.900
,48.274131,4.066873,122.000000,2.900
,48.274116,4.066843,122.199996,2.900
,48.274089,4.066828,121.500000,3.200
,48.274066,4.066817,121.300003,2.800
,48.274047,4.066792,121.699996,2.700
,48.274024,4.066788,120.900001,2.300
,48.273994,4.066773,121.900001,4.000
,48.273975,4.066750,122.000000,2.800
,48.273948,4.066713,122.199996,3.800
,48.273933,4.066690,121.699996,2.300
,48.273910,4.066677,121.000000,2.800
,48.273887,4.066652,121.199996,3.300
,48.273864,4.066618,121.199996,3.400
,48.273845,4.066592,120.800003,3.000
,48.273830,4.066565,121.000000,2.800
,48.273815,4.066547,120.599998,2.300
,48.273799,4.066525,120.800003,2.200
,48.273784,4.066498,120.900001,2.500
,48.273750,4.066468,121.099998,4.400
,48.273727,4.066447,121.699996,3.100
,48.273704,4.066417,123.300003,3.200
,48.273685,4.066400,123.900001,2.600
,48.273662,4.066382,125.099998,3.000
,48.273639,4.066360,125.400001,3.100
,48.273624,4.066345,124.900001,1.900
,48.273609,4.066335,124.800003,1.700
,48.273582,4.066315,125.599998,3.700
,48.273574,4.066308,122.400001,0.600
,48.273551,4.066302,121.500000,2.700
,48.273536,4.066272,120.699996,2.900
,48.273525,4.066242,120.400001,2.300
,48.273506,4.066218,120.900001,2.900
,48.273490,4.066200,120.400001,2.000
,48.273471,4.066170,121.400001,3.200
,48.273448,4.066138,122.599998,3.600
,48.273433,4.066117,123.000000,2.500
,48.273410,4.066078,124.099998,3.900
,48.273395,4.066045,123.900001,2.900
,48.273376,4.066003,124.800003,3.900
,48.273365,4.065978,124.699996,2.000
,48.273353,4.065955,123.500000,2.600
,48.273326,4.065927,123.099998,3.400
,48.273315,4.065903,122.800003,2.300
,48.273296,4.065887,122.699996,1.900
,48.273281,4.065857,123.099998,3.200
,48.273265,4.065830,123.599998,2.500
,48.273242,4.065792,125.099998,3.600
,48.273227,4.065767,125.099998,2.900
,48.273200,4.065728,125.199996,3.900
,48.273185,4.065708,125.500000,2.100
,48.273162,4.065697,125.699996,2.800
,48.273143,4.065692,125.199996,2.300
,48.273120,4.065695,124.900001,2.700
,48.273094,4.065682,125.000000,2.800
,48.273075,4.065675,124.400001,2.300
,48.273056,4.065668,124.099998,2.000
,48.273040,4.065652,124.300003,2.300
,48.273010,4.065628,124.699996,3.500
,48.272991,4.065605,125.500000,2.800
,48.272983,4.065580,125.900001,2.200
,48.272968,4.065557,126.699996,2.300
,48.272953,4.065537,127.099998,2.100
,48.272941,4.065512,127.099998,2.700
,48.272926,4.065498,126.800003,1.800
,48.272903,4.065477,125.800003,2.800
,48.272880,4.065452,127.599998,3.300
,48.272857,4.065437,128.199996,2.900
,48.272823,4.065415,127.400001,4.100
,48.272808,4.065397,127.099998,2.000
,48.272792,4.065380,126.199996,2.000
,48.272766,4.065360,126.000000,3.700
,48.272747,4.065348,125.599998,2.100
,48.272731,4.065335,125.199996,2.100
,48.272712,4.065318,125.000000,2.300
,48.272697,4.065297,124.699996,2.500
,48.272678,4.065272,124.800003,2.700
,48.272659,4.065248,124.900001,2.900
,48.272628,4.065218,126.099998,4.100
,48.272605,4.065195,127.599998,3.100
,48.272579,4.065172,127.599998,3.200
,48.272556,4.065153,128.199996,3.000
,48.272533,4.065128,128.800003,3.300
,48.272506,4.065105,129.300003,3.100
,48.272487,4.065083,128.100006,2.800
,48.272480,4.065062,126.800003,1.900
,48.272464,4.065042,126.000000,2.100
,48.272449,4.065022,124.800003,2.100
,48.272434,4.064992,124.400001,2.700
,48.272407,4.064972,124.900001,3.400
,48.272384,4.064948,125.300003,3.200
,48.272369,4.064922,124.599998,2.500
,48.272350,4.064900,124.300003,2.800
,48.272327,4.064877,124.199996,3.100
,48.272312,4.064858,124.099998,2.100
,48.272293,4.064837,124.000000,2.800
,48.272270,4.064815,124.199996,3.100
,48.272235,4.064788,125.300003,4.300
,48.272216,4.064767,125.699996,2.500
,48.272197,4.064747,126.000000,2.700
,48.272174,4.064732,126.400001,2.500
,48.272155,4.064705,126.599998,3.000
,48.272136,4.064685,126.400001,2.400
,48.272113,4.064663,127.099998,3.100
,48.272083,4.064645,128.199996,3.700
,48.272064,4.064623,129.100006,2.800
,48.272045,4.064602,130.000000,2.500
,48.272022,4.064567,129.800003,3.700
,48.272003,4.064542,130.199996,2.900
,48.271987,4.064518,130.699996,2.400
,48.271968,4.064495,130.300003,2.800
,48.271953,4.064477,130.899993,2.000
,48.271934,4.064460,130.399993,2.600
,48.271911,4.064440,131.600006,3.000
,48.271896,4.064417,131.000000,2.300
,48.271881,4.064393,129.899993,2.600
,48.271865,4.064367,129.300003,2.500
,48.271835,4.064330,128.300003,4.100
,48.271816,4.064308,128.800003,2.800
,48.271800,4.064293,128.399993,1.900
,48.271785,4.064272,127.400001,2.500
,48.271766,4.064250,126.500000,2.500
,48.271747,4.064223,126.099998,3.000
,48.271728,4.064202,126.300003,2.800
,48.271705,4.064168,126.900001,3.700
,48.271675,4.064142,126.900001,3.600
,48.271640,4.064117,125.599998,4.200
,48.271621,4.064117,125.500000,2.300
,48.271598,4.064132,125.300003,2.900
,48.271587,4.064145,125.000000,1.500
,48.271572,4.064170,124.900001,2.400
,48.271553,4.064190,124.599998,2.700
,48.271526,4.064205,124.699996,3.200
,48.271514,4.064227,124.500000,2.000
,48.271499,4.064245,124.900001,2.300
,48.271484,4.064267,125.400001,2.500
,48.271457,4.064307,126.000000,4.000
,48.271438,4.064338,125.300003,3.200
,48.271423,4.064368,124.300003,2.700
,48.271408,4.064395,123.699996,2.800
,48.271389,4.064412,123.300003,2.300
,48.271366,4.064430,122.800003,3.000
,48.271354,4.064448,122.500000,1.700
,48.271335,4.064448,121.900001,2.300
,48.271316,4.064443,122.300003,2.300
,48.271293,4.064430,122.199996,2.800
,48.271251,4.064405,122.500000,4.600
,48.271232,4.064387,122.199996,2.700
,48.271217,4.064362,122.199996,2.600
,48.271183,4.064342,122.300003,4.100
,48.271160,4.064313,122.599998,3.100
,48.271133,4.064288,122.800003,3.900
,48.271114,4.064262,122.400001,2.700
,48.271091,4.064243,122.599998,2.700
,48.271072,4.064223,122.300003,2.700
,48.271053,4.064205,122.099998,2.300
,48.271007,4.064202,121.900001,5.700
,48.270984,4.064213,122.300003,2.100
,48.270954,4.064227,123.300003,3.900
,48.270935,4.064250,123.400001,2.800
,48.270923,4.064277,123.300003,2.300
,48.270908,4.064302,123.199996,2.400
,48.270889,4.064328,123.000000,3.000
,48.270866,4.064353,123.500000,3.200
,48.270847,4.064383,123.500000,3.200
,48.270820,4.064427,123.099998,4.200
,48.270801,4.064463,122.099998,3.300
,48.270774,4.064490,122.400001,3.900
,48.270751,4.064515,122.099998,3.000
,48.270736,4.064550,122.099998,3.000
,48.270717,4.064580,122.000000,3.200
,48.270702,4.064608,122.500000,2.800
,48.270687,4.064637,123.500000,2.600
,48.270675,4.064662,124.099998,2.100
,48.270656,4.064687,124.300003,2.900
,48.270633,4.064733,124.599998,4.300
,48.270614,4.064767,124.300003,3.400
,48.270606,4.064795,124.599998,2.200
,48.270595,4.064828,124.800003,3.100
,48.270584,4.064857,126.099998,2.300
,48.270576,4.064885,125.699996,2.200
,48.270568,4.064913,125.599998,2.300
,48.270553,4.064937,125.099998,2.400
,48.270549,4.064963,125.699996,2.000
,48.270526,4.065003,125.400001,5387747.500
,48.270523,4.065030,126.099998,2.000
,48.270511,4.065060,126.599998,2.900
,48.270500,4.065093,126.199996,2.700
,48.270481,4.065125,125.699996,3.100
,48.270465,4.065153,125.900001,2.600
,48.270446,4.065173,126.000000,2.700
,48.270431,4.065203,126.599998,2.700
,48.270408,4.065242,127.900001,4.200
,48.270393,4.065273,129.000000,2.800
,48.270366,4.065315,128.399993,4.300
,48.270359,4.065353,128.199996,2.900
,48.270347,4.065393,127.599998,3.300
,48.270328,4.065415,128.000000,2.800
,48.270317,4.065435,127.500000,1.900
,48.270301,4.065462,127.099998,2.500
